verb,infinitive,importance
abair,say,1
aithin,recognise,
aithris,imitate,
amharc,look,
at,swell,
athraigh,change,
báigh,drown,
bailigh,gather,
bain,"cut, win",
beannaigh,bless,
beir,bear,
bí,be,1
is,copula,
bog,move,
bris,break,
brúigh,"press, push",
caill,lose,
caith,"spend, wear",
cas,"twist, turn",
ceangail,tie,
ceannaigh,buy,
cloígh,defeat,
clois,hear,1
codail,sleep,1
coinnigh,keep,
cruaigh,harden,
cruinnigh,collect,
cuir,put,
dathaigh,colour,
déan,"do, make",1
díol,sell,
dírigh,straighten,
dóigh,burn,
druid,"close, shut",
dúisigh,wake up,
dún,"close, shut",
eagraigh,organise,
éirigh,get up,
éist,listen,
fág,leave,
faigh,get,1
fan,wait,
fás,grow,
feic,see,1
feoigh,"rot, decay",
fiafraigh,"ask, enquire",
fill,return,
fliuch,"wet, soak",
foghlaim,"learn, teach",
foilsigh,publish,
freagair,answer,
freastail,attend,
géill,yield,
glan,clean,
goirtigh,"salt, pickle",
gortaigh,"hurt, injure",
iarr,"ask, request",
imigh,"leave, go off",
imir,play (game),
inis,tell,
iompair,carry,
ionsaigh,attack,
ith,eat,1
labhair,speak,1
las,light,
léiigh,read,
lig,"let, permit",
maraigh,kill,
meath,"wither, rot",
mill,"destroy, ruin",
mínigh,explain,
mionnaigh,swear,
mol,praise,
múscail,wake up,
neartaigh,strengthen,
nigh,wash,
oil,"train, rear",
ól,drink,1
ordaigh,order,
oscail,open,
pacáil,pack,
pós,marry,
rith,run,1
roinn,divide,
sábháil,save,
scanraigh,frighten,
scaoil,"shoot, loosen",
scríobh,write,1
seachain,avoid,
seas,stand,1
sín,stretch,
sínigh,sign walk,
siúil,walk,1
smaoinigh,think,1
socraigh,arrange,
stampáil,stamp,
suigh,sit,1
tabhair,give,1
tagair,refer,
taispeáin,show,
taistil,travel,
taitin,shine,
tar,come,1
tarraing,"pull, draw",
teann,tighten,
téigh,go,1
tiomáin,drive,
tit,fall,
tóg,lift,
tosaigh,begin,
trácht,mention,
triomaigh,dry,
tuig,understand,1
tuirsigh,"tire, exhaust",
ullmhaigh,prepare,
